"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 50","23,110.15","23,345.15","23,067.60","23,002.15","23,114.50","-","112.35","0.49","66,32,89,390","50,307.94","26,373.20","21,743.65","-9.61","-0.33"
"HDFCBANK","785.00","793.75","778.20","798.20","781.00","-","-17.20","-2.15","10,31,29,469","8,086.48","1,020.50","770.00","-14.35","-11.69"
"INFY","1,242.00","1,264.80","1,229.20","1,220.80","1,256.00","-","35.20","2.88","2,72,99,975","3,419.68","1,728.00","1,215.10","-7.18","-22.26"
"RELIANCE","1,398.00","1,430.00","1,396.10","1,384.80","1,413.60","-","28.80","2.08","2,29,94,918","3,262.84","1,611.80","1,114.85","-0.41","11.38"
"SHRIRAMFIN","962.00","966.90","922.30","949.80","934.00","-","-15.80","-1.66","2,85,50,627","2,692.21","1,108.00","566.50","-11.83","39.84"
"ICICIBANK","1,258.40","1,274.00","1,241.70","1,250.10","1,249.80","-","-0.30","-0.02","1,64,21,006","2,062.56","1,500.00","1,240.10","-10.38","-5.44"
"SBIN","1,058.40","1,085.00","1,054.00","1,048.90","1,058.30","-","9.40","0.90","1,77,48,625","1,897.13","1,234.70","730.00","-12.98","41.19"
"ITC","301.05","308.75","298.15","298.00","299.80","-","1.80","0.60","5,86,79,529","1,779.69","444.20","297.10","-8.32","-25.78"
"LT","3,475.00","3,524.00","3,410.00","3,434.50","3,438.10","-","3.60","0.10","47,43,217","1,637.74","4,440.00","2,965.30","-21.52","2.60"
"BHARTIARTL","1,834.00","1,860.90","1,834.00","1,827.00","1,844.80","-","17.80","0.97","76,91,633","1,421.53","2,174.50","1,627.50","-6.71","8.18"
"M&M","3,059.20","3,106.60","3,043.20","3,045.40","3,075.00","-","29.60","0.97","44,71,960","1,372.69","3,839.90","2,425.00","-9.90","8.73"
"ETERNAL","230.10","236.70","230.10","228.74","233.00","-","4.26","1.86","5,57,75,443","1,298.56","368.45","194.80","-13.53","3.80"
"BAJFINANCE","836.70","841.95","819.25","832.20","830.30","-","-1.90","-0.23","1,48,81,843","1,232.59","1,102.50","819.25","-19.40","-4.34"
"COALINDIA","456.70","472.40","456.20","454.20","467.80","-","13.60","2.99","2,38,78,653","1,117.54","476.00","356.00","10.45","18.01"
"TCS","2,386.00","2,407.80","2,364.20","2,356.00","2,397.60","-","41.60","1.77","42,06,320","1,003.06","3,710.00","2,350.20","-10.74","-32.71"
"TATASTEEL","193.40","199.44","193.34","190.51","196.38","-","5.87","3.08","4,68,81,257","924.22","216.45","125.30","-5.75","23.48"
"MARUTI","12,605.00","12,756.00","12,556.00","12,599.00","12,615.00","-","16.00","0.13","7,25,481","917.21","17,370.00","11,059.45","-15.77","7.54"
"AXISBANK","1,208.60","1,231.80","1,199.70","1,207.00","1,205.70","-","-1.30","-0.11","75,18,686","910.57","1,418.30","1,032.35","-11.88","14.35"
"HINDALCO","884.95","907.50","870.00","897.05","871.95","-","-25.10","-2.80","1,00,63,637","890.59","1,029.80","546.45","-6.81","23.51"
"POWERGRID","300.10","305.00","296.60","296.70","298.60","-","1.90","0.64","2,83,92,470","850.41","322.00","250.00","-0.12","6.51"
"NTPC","375.85","383.30","375.50","374.05","381.00","-","6.95","1.86","2,09,30,288","797.61","394.50","315.55","2.16","11.49"
"INDIGO","4,185.00","4,247.00","4,135.00","4,154.30","4,145.90","-","-8.40","-0.20","18,88,215","789.93","6,232.50","4,035.00","-14.60","-18.50"
"BEL","432.20","438.95","424.70","430.80","426.75","-","-4.05","-0.94","1,75,99,734","754.76","473.45","256.20","-3.26","43.66"
"HCLTECH","1,334.90","1,352.50","1,328.90","1,311.80","1,339.90","-","28.10","2.14","50,50,431","675.65","1,780.10","1,297.70","-6.72","-14.22"
"SUNPHARMA","1,755.10","1,781.30","1,754.30","1,744.40","1,770.60","-","26.20","1.50","35,91,446","637.36","1,851.20","1,548.00","2.68","1.16"
"KOTAKBANK","368.60","372.60","365.40","368.15","367.00","-","-1.15","-0.31","1,70,77,194","629.28","460.38","363.35","-12.90","-9.86"
"ADANIPORTS","1,364.90","1,393.50","1,358.00","1,356.00","1,368.00","-","12.00","0.88","42,13,342","576.60","1,584.00","1,041.50","-9.49","16.18"
"ONGC","269.00","273.05","264.00","269.10","265.55","-","-3.55","-1.32","1,94,36,124","520.65","293.00","205.00","-4.70","12.72"
"APOLLOHOSP","7,231.50","7,447.50","7,202.50","7,252.00","7,340.00","-","88.00","1.21","6,96,455","512.75","8,099.50","6,227.10","-3.62","13.37"
"HINDUNILVR","2,099.70","2,099.80","2,069.00","2,077.30","2,095.00","-","17.70","0.85","24,29,744","506.44","2,750.00","2,069.00","-9.48","-6.57"
"TECHM","1,360.70","1,391.00","1,355.60","1,340.60","1,386.30","-","45.70","3.41","33,97,016","470.08","1,854.00","1,209.40","-4.85","-1.72"
"WIPRO","191.19","192.30","188.41","188.41","190.90","-","2.49","1.32","2,43,95,304","464.71","274.70","187.68","-9.03","-28.77"
"BAJAJFINSV","1,724.00","1,734.00","1,702.80","1,714.90","1,718.00","-","3.10","0.18","26,26,283","451.10","2,195.00","1,702.10","-16.54","-7.23"
"TMPV","311.00","316.90","310.80","309.30","315.00","-","5.70","1.84","1,39,05,760","436.71","744.00","306.90","-16.67","-54.35"
"DRREDDY","1,289.00","1,307.50","1,288.20","1,274.50","1,296.00","-","21.50","1.69","33,59,706","436.39","1,379.70","1,020.00","1.22","9.16"
"JSWSTEEL","1,139.10","1,186.50","1,138.00","1,130.90","1,168.00","-","37.10","3.28","35,80,084","420.17","1,284.70","905.20","-5.49","11.21"
"TITAN","4,046.90","4,149.90","4,040.90","4,037.90","4,119.90","-","82.00","2.03","10,19,586","419.69","4,378.40","2,925.00","-2.75","29.03"
"ULTRACEMCO","10,920.00","10,974.00","10,853.00","10,814.00","10,921.00","-","107.00","0.99","3,65,914","399.61","13,110.00","10,573.00","-14.45","-0.25"
"GRASIM","2,622.10","2,662.70","2,608.30","2,607.90","2,626.20","-","18.30","0.70","15,10,096","397.66","2,979.00","2,426.00","-7.29","6.40"
"EICHERMOT","6,802.50","6,928.00","6,802.50","6,793.00","6,925.00","-","132.00","1.94","5,75,123","396.40","8,230.00","4,999.95","-12.74","32.43"
"MAXHEALTH","954.20","974.00","951.50","953.10","962.00","-","8.90","0.93","38,83,207","374.86","1,314.30","933.80","-11.57","-15.31"
"JIOFIN","242.00","244.25","238.60","239.45","239.40","-","-0.05","-0.02","1,50,21,105","362.13","338.60","203.10","-7.42","3.33"
"SBILIFE","1,906.90","1,919.90","1,890.00","1,903.10","1,890.00","-","-13.10","-0.69","17,82,505","338.71","2,132.00","1,430.55","-9.13","26.14"
"BAJAJ-AUTO","8,957.50","9,110.00","8,931.50","8,868.50","9,074.50","-","206.00","2.32","3,56,410","322.29","10,187.00","7,089.35","-7.47","14.58"
"TRENT","3,509.00","3,598.00","3,506.40","3,481.90","3,572.00","-","90.10","2.59","8,37,217","297.91","6,261.00","3,427.90","-12.69","-31.59"
"ADANIENT","1,951.00","1,974.40","1,919.90","1,936.80","1,928.90","-","-7.90","-0.41","11,75,662","228.56","2,616.50","1,848.00","-10.73","-15.07"
"TATACONSUM","1,054.70","1,056.00","1,043.50","1,044.60","1,049.00","-","4.40","0.42","20,95,970","220.03","1,220.90","945.25","-9.27","8.61"
"ASIANPAINT","2,210.90","2,224.50","2,185.00","2,186.00","2,204.80","-","18.80","0.86","8,75,920","192.87","2,985.70","2,162.60","-9.20","-3.60"
"HDFCLIFE","635.00","635.50","622.05","633.50","624.60","-","-8.90","-1.40","30,12,022","188.59","820.75","617.20","-14.28","-7.38"
"NESTLEIND","1,204.00","1,204.00","1,177.60","1,186.30","1,201.00","-","14.70","1.24","13,95,157","166.36","1,340.40","1,074.00","-7.17","8.12"
"CIPLA","1,250.00","1,264.00","1,248.00","1,239.20","1,260.00","-","20.80","1.68","11,51,621","144.74","1,673.00","1,235.40","-6.05","-16.67"
