"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDCAP 50","15,572.40","15,759.05","15,549.15","15,458.00","15,572.60","-","114.60","0.74","45,80,29,864","14,460.34","17,572.45","13,269.65","-7.92","7.55"
"BSE","2,920.00","2,939.00","2,783.10","2,895.00","2,801.70","-","-93.30","-3.22","57,95,250","1,641.05","3,227.00","1,385.17","2.27","87.69"
"AUBANK","906.00","920.65","891.00","901.55","891.55","-","-10.00","-1.11","1,11,21,205","1,004.39","1,039.20","505.50","-13.41","69.74"
"HINDPETRO","330.05","345.35","330.05","324.80","338.95","-","14.15","4.36","2,41,69,602","815.72","508.45","321.50","-21.34","0.71"
"ASHOKLEY","171.08","172.67","166.33","168.57","169.40","-","0.83","0.49","3,87,94,799","654.66","215.42","95.93","-18.89","63.29"
"INDUSINDBK","822.00","837.00","813.10","816.30","819.30","-","3.00","0.37","78,72,290","646.91","968.85","633.60","-11.53","19.76"
"HEROMOTOCO","5,218.00","5,367.50","5,216.00","5,172.50","5,263.50","-","91.00","1.76","10,43,098","550.69","6,388.50","3,344.00","-3.69","46.32"
"DIXON","10,342.00","10,495.00","10,265.00","10,194.00","10,343.00","-","149.00","1.46","5,20,115","540.01","18,471.00","9,630.00","-6.58","-25.62"
"MUTHOOTFIN","3,299.00","3,328.90","3,256.00","3,306.40","3,300.00","-","-6.40","-0.19","15,56,677","512.79","4,149.50","1,965.00","-4.62","38.96"
"BHEL","254.05","266.20","253.25","251.75","261.25","-","9.50","3.77","1,90,56,140","501.10","305.90","193.50","1.54","26.49"
"CUMMINSIND","4,526.00","4,654.90","4,525.00","4,505.70","4,629.40","-","123.70","2.75","8,78,443","405.27","4,987.00","2,580.00","-2.21","54.80"
"FEDERALBNK","268.05","274.30","266.00","265.90","267.20","-","1.30","0.49","1,46,60,431","394.25","302.00","180.56","-8.68","43.24"
"POLYCAB","7,205.00","7,346.50","7,126.00","7,180.00","7,150.00","-","-30.00","-0.42","4,50,944","324.47","8,722.00","4,567.00","-9.14","40.65"
"NMDC","78.01","81.32","78.01","77.94","79.50","-","1.56","2.00","3,93,90,638","316.23","86.72","59.53","-0.79","15.57"
"PERSISTENT","4,680.10","4,745.80","4,675.00","4,602.80","4,739.00","-","136.20","2.96","6,54,131","308.45","6,599.00","4,148.95","-6.93","-8.76"
"SUZLON","41.40","42.73","41.34","41.09","41.93","-","0.84","2.04","7,19,60,845","303.46","74.30","38.19","-5.69","-28.19"
"COFORGE","1,110.00","1,131.00","1,077.30","1,092.30","1,098.00","-","5.70","0.52","27,21,237","298.92","1,994.00","1,008.10","-18.10","-27.56"
"UPL","619.40","635.30","614.80","611.80","620.95","-","9.15","1.50","46,40,376","291.11","812.20","588.85","-17.47","-4.00"
"PAYTM","1,055.10","1,070.00","1,044.00","1,041.80","1,050.00","-","8.20","0.79","25,27,519","266.89","1,381.80","718.20","-8.96","42.97"
"LUPIN","2,275.00","2,337.80","2,265.10","2,251.50","2,319.00","-","67.50","3.00","10,89,433","252.07","2,377.60","1,795.20","4.49","11.19"
"INDUSTOWER","429.65","441.75","429.65","426.65","434.15","-","7.50","1.76","54,36,700","237.08","481.50","312.55","-8.47","27.47"
"MANKIND","2,030.00","2,047.40","1,966.70","2,000.80","2,000.00","-","-0.80","-0.04","11,85,624","236.61","2,716.50","1,966.70","-1.20","-10.91"
"GMRAIRPORT","89.00","92.95","89.00","88.45","90.97","-","2.52","2.85","2,41,47,369","220.61","110.36","74.79","-8.80","18.68"
"OIL","476.00","485.90","472.00","477.05","475.00","-","-2.05","-0.43","41,06,460","196.44","524.00","325.00","-0.12","21.39"
"YESBANK","18.53","18.99","18.51","18.39","18.56","-","0.17","0.92","10,29,80,717","192.47","24.30","16.16","-11.79","9.56"
"HDFCAMC","2,409.30","2,443.00","2,380.00","2,401.00","2,398.80","-","-2.20","-0.09","7,71,952","185.83","2,967.25","1,783.43","-11.67","20.91"
"IDFCFIRSTB","62.92","63.88","62.74","62.61","63.03","-","0.42","0.67","2,89,41,537","183.00","87.00","52.46","-24.52","13.14"
"MPHASIS","2,095.00","2,109.70","2,064.00","2,047.40","2,089.90","-","42.50","2.08","8,63,296","180.14","3,037.20","2,030.50","-11.96","-9.37"
"AUROPHARMA","1,262.00","1,297.80","1,258.30","1,247.50","1,292.00","-","44.50","3.57","13,95,687","179.38","1,319.80","1,010.00","11.49","10.04"
"MFSL","1,621.00","1,647.90","1,621.00","1,627.90","1,635.00","-","7.10","0.44","10,37,290","169.92","1,892.50","1,073.50","-11.59","45.79"
"SRF","2,486.00","2,524.50","2,445.30","2,478.80","2,455.00","-","-23.80","-0.96","6,76,836","167.35","3,325.00","2,425.90","-8.71","-17.98"
"BHARATFORG","1,718.00","1,757.90","1,706.30","1,712.40","1,710.40","-","-2.00","-0.12","9,39,720","161.92","1,935.50","919.10","-3.91","43.21"
"PHOENIXLTD","1,575.00","1,588.00","1,536.40","1,575.60","1,539.00","-","-36.60","-2.32","10,12,968","156.99","1,993.00","1,402.50","-11.20","-5.23"
"NHPC","76.61","78.44","76.57","76.24","77.00","-","0.76","1.00","1,98,24,270","153.74","92.34","71.62","3.40","-3.80"
"GODREJPROP","1,564.90","1,604.50","1,543.70","1,552.10","1,548.00","-","-4.10","-0.26","9,66,056","151.37","2,506.50","1,475.00","-15.21","-26.60"
"PIIND","2,907.90","2,947.40","2,884.00","2,890.90","2,921.00","-","30.10","1.04","5,19,308","151.35","4,330.00","2,840.10","-4.17","-14.65"
"SBICARD","693.90","700.60","683.25","694.25","693.00","-","-1.25","-0.18","20,19,181","139.69","1,027.25","683.25","-11.79","-19.12"
"POLICYBZR","1,496.00","1,526.30","1,491.20","1,488.70","1,504.00","-","15.30","1.03","8,81,630","132.62","1,978.00","1,364.00","-0.63","-3.54"
"OFSS","6,450.00","6,675.00","6,440.00","6,368.50","6,594.50","-","226.00","3.55","2,00,334","131.93","9,950.00","6,234.50","-0.72","-12.99"
"FORTIS","821.15","834.55","814.35","818.35","819.00","-","0.65","0.08","15,80,046","130.46","1,104.30","595.80","-11.07","30.55"
"APLAPOLLO","1,948.00","1,996.80","1,948.00","1,929.80","1,975.00","-","45.20","2.34","6,20,833","122.81","2,301.40","1,399.95","-9.71","30.77"
"OBEROIRLTY","1,449.00","1,478.60","1,435.10","1,445.80","1,445.00","-","-0.80","-0.06","7,58,939","110.28","2,005.00","1,395.50","-5.13","-12.03"
"MARICO","750.00","750.00","740.20","741.25","744.75","-","3.50","0.47","14,78,190","110.14","813.50","615.25","-5.51","17.77"
"TIINDIA","2,530.00","2,583.80","2,516.50","2,530.00","2,552.40","-","22.40","0.89","3,89,938","99.08","3,419.90","2,164.90","-1.29","-11.72"
"IRCTC","529.90","532.00","521.10","525.85","523.40","-","-2.45","-0.47","17,40,070","91.36","820.25","518.25","-18.89","-26.78"
"DABUR","433.70","434.80","429.00","430.20","431.00","-","0.80","0.19","19,33,160","83.47","577.00","428.80","-15.44","-13.63"
"PAGEIND","31,495.00","32,500.00","31,320.00","31,225.00","32,005.00","-","780.00","2.50","23,953","76.90","50,590.00","29,805.00","-2.24","-23.68"
"JUBLFOOD","456.40","462.85","449.90","454.20","453.30","-","-0.90","-0.20","16,23,484","73.77","727.95","448.35","-14.86","-27.77"
