"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDCAP SELECT","12,625.40","12,769.85","12,581.45","12,517.00","12,625.90","-","108.90","0.87","31,21,23,015","9,845.35","14,118.40","6,054.20","-6.31","11.10"
"BSE","2,920.00","2,939.00","2,783.10","2,895.00","2,801.70","-","-93.30","-3.22","57,95,250","1,641.05","3,227.00","1,385.17","2.27","87.69"
"HINDPETRO","330.05","345.35","330.05","324.80","338.95","-","14.15","4.36","2,41,69,602","815.72","508.45","321.50","-21.34","0.71"
"ASHOKLEY","171.08","172.67","166.33","168.57","169.40","-","0.83","0.49","3,87,94,799","654.66","215.42","95.93","-18.89","63.29"
"INDUSINDBK","822.00","837.00","813.10","816.30","819.30","-","3.00","0.37","78,72,290","646.91","968.85","633.60","-11.53","19.76"
"HEROMOTOCO","5,218.00","5,367.50","5,216.00","5,172.50","5,263.50","-","91.00","1.76","10,43,098","550.69","6,388.50","3,344.00","-3.69","46.32"
"DIXON","10,342.00","10,495.00","10,265.00","10,194.00","10,343.00","-","149.00","1.46","5,20,115","540.01","18,471.00","9,630.00","-6.58","-25.62"
"MUTHOOTFIN","3,299.00","3,328.90","3,256.00","3,306.40","3,300.00","-","-6.40","-0.19","15,56,677","512.79","4,149.50","1,965.00","-4.62","38.96"
"BHEL","254.05","266.20","253.25","251.75","261.25","-","9.50","3.77","1,90,56,140","501.10","305.90","193.50","1.54","26.49"
"CUMMINSIND","4,526.00","4,654.90","4,525.00","4,505.70","4,629.40","-","123.70","2.75","8,78,443","405.27","4,987.00","2,580.00","-2.21","54.80"
"UNIONBANK","174.00","179.94","173.99","172.16","177.37","-","5.21","3.03","1,88,46,899","335.02","205.49","112.52","-8.56","48.81"
"POLYCAB","7,205.00","7,346.50","7,126.00","7,180.00","7,150.00","-","-30.00","-0.42","4,50,944","324.47","8,722.00","4,567.00","-9.14","40.65"
"PERSISTENT","4,680.10","4,745.80","4,675.00","4,602.80","4,739.00","-","136.20","2.96","6,54,131","308.45","6,599.00","4,148.95","-6.93","-8.76"
"SUZLON","41.40","42.73","41.34","41.09","41.93","-","0.84","2.04","7,19,60,845","303.46","74.30","38.19","-5.69","-28.19"
"COFORGE","1,110.00","1,131.00","1,077.30","1,092.30","1,098.00","-","5.70","0.52","27,21,237","298.92","1,994.00","1,008.10","-18.10","-27.56"
"LUPIN","2,275.00","2,337.80","2,265.10","2,251.50","2,319.00","-","67.50","3.00","10,89,433","252.07","2,377.60","1,795.20","4.49","11.19"
"INDUSTOWER","429.65","441.75","429.65","426.65","434.15","-","7.50","1.76","54,36,700","237.08","481.50","312.55","-8.47","27.47"
"MANKIND","2,030.00","2,047.40","1,966.70","2,000.80","2,000.00","-","-0.80","-0.04","11,85,624","236.61","2,716.50","1,966.70","-1.20","-10.91"
"YESBANK","18.53","18.99","18.51","18.39","18.56","-","0.17","0.92","10,29,80,717","192.47","24.30","16.16","-11.79","9.56"
"HDFCAMC","2,409.30","2,443.00","2,380.00","2,401.00","2,398.80","-","-2.20","-0.09","7,71,952","185.83","2,967.25","1,783.43","-11.67","20.91"
"AUROPHARMA","1,262.00","1,297.80","1,258.30","1,247.50","1,292.00","-","44.50","3.57","13,95,687","179.38","1,319.80","1,010.00","11.49","10.04"
"SRF","2,486.00","2,524.50","2,445.30","2,478.80","2,455.00","-","-23.80","-0.96","6,76,836","167.35","3,325.00","2,425.90","-8.71","-17.98"
"BHARATFORG","1,718.00","1,757.90","1,706.30","1,712.40","1,710.40","-","-2.00","-0.12","9,39,720","161.92","1,935.50","919.10","-3.91","43.21"
"GODREJPROP","1,564.90","1,604.50","1,543.70","1,552.10","1,548.00","-","-4.10","-0.26","9,66,056","151.37","2,506.50","1,475.00","-15.21","-26.60"
"POLICYBZR","1,496.00","1,526.30","1,491.20","1,488.70","1,504.00","-","15.30","1.03","8,81,630","132.62","1,978.00","1,364.00","-0.63","-3.54"
"MARICO","750.00","750.00","740.20","741.25","744.75","-","3.50","0.47","14,78,190","110.14","813.50","615.25","-5.51","17.77"
