"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDSMALLCAP 400","18,259.45","18,436.35","18,185.70","18,122.05","18,208.55","-","86.50","0.48","2,68,95,17,624","51,508.54","20,668.15","15,832.85","-7.58","4.05"
"GMDCLTD","539.90","599.00","539.00","534.15","580.00","-","45.85","8.58","3,21,07,235","1,857.89","651.00","251.00","2.18","116.94"
"FIRSTCRY","210.70","252.07","210.29","210.06","252.07","-","42.01","20.00","7,04,44,931","1,698.43","438.70","207.05","14.92","-30.88"
"BSE","2,920.00","2,939.00","2,783.10","2,895.00","2,801.70","-","-93.30","-3.22","57,95,250","1,641.05","3,227.00","1,385.17","2.27","87.69"
"HAPPSTMNDS","381.00","419.00","379.30","371.65","400.10","-","28.45","7.66","3,20,20,712","1,285.70","674.85","330.20","6.11","-37.94"
"MCX","2,550.00","2,558.90","2,396.80","2,530.40","2,410.00","-","-120.40","-4.76","52,14,539","1,276.19","2,705.00","907.00","0.59","123.81"
"NATIONALUM","369.05","382.65","360.55","377.00","370.50","-","-6.50","-1.72","3,42,62,576","1,258.94","431.50","137.75","8.59","94.42"
"SWIGGY","285.90","292.15","280.00","283.25","280.75","-","-2.50","-0.88","3,67,78,157","1,042.99","474.00","271.10","-13.30","-20.77"
"AUBANK","906.00","920.65","891.00","901.55","891.55","-","-10.00","-1.11","1,11,21,205","1,004.39","1,039.20","505.50","-13.41","69.74"
"OLECTRA","1,009.45","1,129.90","1,006.05","1,000.80","1,084.90","-","84.10","8.40","91,12,475","996.88","1,714.20","866.60","6.94","-3.61"
"JBMA","550.00","588.45","540.10","548.95","556.80","-","7.85","1.43","1,59,85,739","909.46","790.00","477.00","-2.39","2.09"
"MRPL","186.61","200.58","185.75","184.78","191.00","-","6.22","3.37","4,63,57,562","904.11","212.31","114.95","-0.13","62.03"
"HINDCOPPER","472.00","493.00","472.00","470.50","489.20","-","18.70","3.97","1,70,30,835","827.29","760.05","183.82","-14.03","111.05"
"HINDPETRO","330.05","345.35","330.05","324.80","338.95","-","14.15","4.36","2,41,69,602","815.72","508.45","321.50","-21.34","0.71"
"ATGL","576.15","592.30","545.00","556.15","550.45","-","-5.70","-1.02","1,33,48,695","748.61","798.00","462.80","6.02","-11.17"
