"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY NEXT 50","64,035.75","64,918.35","63,744.65","63,573.80","63,862.30","-","288.50","0.45","34,76,99,906","13,577.00","70,833.65","57,250.25","-8.05","2.49"
"VEDL","670.00","688.15","664.40","665.35","667.30","-","1.95","0.29","2,59,93,024","1,752.68","769.80","363.00","-2.22","41.75"
"TATAPOWER","402.00","418.45","401.00","398.50","402.60","-","4.10","1.03","2,51,54,921","1,031.43","418.45","335.00","6.51","8.71"
"ADANIPOWER","152.00","157.20","150.52","151.01","151.75","-","0.74","0.49","4,42,65,976","683.42","182.70","92.40","6.34","46.01"
"HINDZINC","511.95","526.50","510.70","506.15","513.65","-","7.50","1.48","1,00,46,753","519.43","733.00","388.55","-12.84","12.56"
"PFC","415.00","428.50","411.05","411.85","411.75","-","-0.10","-0.02","1,21,99,222","508.68","444.10","329.90","0.40","2.34"
"IOC","143.60","148.13","143.60","142.73","145.09","-","2.36","1.65","3,46,36,614","504.97","188.96","122.35","-16.51","12.29"
"BPCL","288.50","295.85","286.95","286.00","288.50","-","2.50","0.87","1,66,01,274","481.62","391.65","262.00","-21.24","6.02"
"LTM","4,140.00","4,389.40","4,048.00","4,198.50","4,355.00","-","156.50","3.73","11,10,895","466.34","6,429.50","3,802.00","-10.93","-1.50"
"CANBK","134.50","139.84","134.50","132.92","136.40","-","3.48","2.62","3,05,39,089","420.77","162.89","83.70","-11.51","58.90"
"HAL","3,826.00","3,882.00","3,776.60","3,802.50","3,785.00","-","-17.50","-0.46","10,47,650","400.13","5,165.00","3,577.55","-9.23","-0.89"
"CHOLAFIN","1,460.00","1,468.00","1,436.30","1,455.10","1,440.00","-","-15.10","-1.04","24,52,413","355.71","1,831.50","1,358.65","-13.75","-3.56"
"RECLTD","335.80","342.00","329.25","333.40","330.10","-","-0.10","-0.03","1,03,05,459","343.71","450.00","321.00","-6.80","-23.06"
"MAZDOCK","2,380.40","2,412.80","2,315.30","2,361.40","2,326.00","-","-35.40","-1.50","14,09,370","331.93","3,775.00","2,125.90","-1.45","-11.66"
"GAIL","146.02","147.35","142.44","144.27","143.25","-","-1.02","-0.71","2,17,38,634","313.30","202.79","142.44","-14.97","-14.96"
"BANKBARODA","275.85","283.80","275.25","272.60","279.95","-","7.35","2.70","94,23,497","264.17","325.50","209.42","-9.42","29.82"
"BRITANNIA","5,735.00","5,749.50","5,592.00","5,673.50","5,623.50","-","-50.00","-0.88","4,62,806","262.28","6,336.00","4,605.05","-7.79","16.40"
"TVSMOTOR","3,469.10","3,532.00","3,450.10","3,454.20","3,477.90","-","23.70","0.69","7,44,363","258.74","3,970.00","2,221.10","-8.86","48.20"
"JINDALSTEL","1,144.10","1,196.00","1,144.10","1,138.10","1,181.00","-","42.90","3.77","19,98,983","236.78","1,272.10","770.00","-2.97","27.51"
"MOTHERSON","113.00","115.25","111.00","111.75","111.89","-","0.14","0.13","2,08,14,836","234.65","136.15","71.50","-13.55","30.33"
"DLF","549.00","558.00","538.85","542.25","540.00","-","-2.25","-0.41","42,66,475","233.88","886.80","524.60","-14.19","-22.22"
"JSWENERGY","513.00","523.25","505.10","505.90","506.00","-","0.10","0.02","43,77,294","224.73","579.00","427.75","2.44","-10.11"
"VBL","406.00","409.65","400.00","404.65","401.80","-","-2.85","-0.70","55,24,922","223.11","568.50","400.00","-11.47","-26.78"
"SOLARINDS","13,277.00","13,445.00","12,887.00","13,159.00","12,984.00","-","-175.00","-1.33","1,56,790","205.47","17,820.00","9,888.40","-2.35","24.55"
"NAUKRI","974.50","1,003.50","971.10","970.60","988.90","-","18.30","1.89","19,56,522","193.14","1,550.00","930.50","-7.99","-27.82"
"PNB","110.50","113.59","110.50","109.49","111.55","-","2.06","1.88","1,71,82,097","192.87","135.15","89.10","-13.92","22.18"
"ADANIENSOL","1,022.90","1,043.00","1,005.60","1,005.30","1,008.60","-","3.30","0.33","18,71,563","190.82","1,067.70","744.90","1.05","23.74"
"CGPOWER","697.00","709.00","678.65","686.70","681.00","-","-5.70","-0.83","27,20,138","187.56","797.55","517.70","-4.37","4.03"
"LODHA","822.40","835.10","792.30","817.95","796.05","-","-21.90","-2.68","22,37,596","181.31","1,531.00","792.30","-25.68","-33.32"
"ADANIGREEN","865.45","887.00","860.00","854.90","866.00","-","11.10","1.30","19,90,204","173.86","1,177.55","765.00","-10.56","-6.22"
