"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY SMALLCAP 250","14,870.90","14,971.15","14,775.10","14,753.25","14,791.95","-","38.70","0.26","1,16,56,61,668","22,631.70","18,077.35","13,314.70","-7.31","-0.87"
"GMDCLTD","539.90","599.00","539.00","534.15","580.00","-","45.85","8.58","3,21,07,235","1,857.89","651.00","251.00","2.18","116.94"
"FIRSTCRY","210.70","252.07","210.29","210.06","252.07","-","42.01","20.00","7,04,44,931","1,698.43","438.70","207.05","14.92","-30.88"
"HAPPSTMNDS","381.00","419.00","379.30","371.65","400.10","-","28.45","7.66","3,20,20,712","1,285.70","674.85","330.20","6.11","-37.94"
"MCX","2,550.00","2,558.90","2,396.80","2,530.40","2,410.00","-","-120.40","-4.76","52,14,539","1,276.19","2,705.00","907.00","0.59","123.81"
"OLECTRA","1,009.45","1,129.90","1,006.05","1,000.80","1,084.90","-","84.10","8.40","91,12,475","996.88","1,714.20","866.60","6.94","-3.61"
"JBMA","550.00","588.45","540.10","548.95","556.80","-","7.85","1.43","1,59,85,739","909.46","790.00","477.00","-2.39","2.09"
"MRPL","186.61","200.58","185.75","184.78","191.00","-","6.22","3.37","4,63,57,562","904.11","212.31","114.95","-0.13","62.03"
"HINDCOPPER","472.00","493.00","472.00","470.50","489.20","-","18.70","3.97","1,70,30,835","827.29","760.05","183.82","-14.03","111.05"
"CHENNPETRO","1,017.20","1,091.00","1,008.95","1,020.30","1,058.00","-","37.70","3.69","45,75,897","487.05","1,103.00","527.00","19.73","83.84"
"JPPOWER","17.00","17.28","16.03","16.75","16.30","-","-0.45","-2.69","28,93,08,782","481.41","27.70","12.52","11.19","11.34"
"SAGILITY","37.70","39.76","37.51","37.39","39.00","-","1.61","4.31","11,16,55,168","433.67","57.89","37.11","-13.00","-8.08"
"KAYNES","3,617.00","3,708.00","3,601.20","3,567.00","3,622.00","-","55.00","1.54","11,41,147","416.96","7,705.00","3,294.90","-6.43","-21.99"
"ATHERENERG","769.00","795.90","755.90","754.30","795.00","-","40.70","5.40","42,90,744","332.14","795.90","288.15","12.16","-"
"INOXWIND","79.43","84.40","79.00","78.07","81.70","-","3.63","4.65","2,93,39,790","241.26","199.01","77.18","-15.49","-51.93"
"ONESOURCE","1,454.00","1,542.80","1,416.00","1,465.50","1,429.00","-","-36.50","-2.49","16,13,767","236.99","2,248.00","1,057.00","12.55","-14.07"
